Code,Year,population
ME,2005,613420
ME,2006,613109
ME,2007,614624
ME,2008,615543
ME,2009,617157
ME,2010,619001
ME,2011,619850
ME,2012,620308
ME,2013,620893
ME,2014,621521
ME,2015,622099
ME,2016,622218
ME,2017,622387
ME,2018,622359
ME,2019,622182
ME,2020,621873
ME,2021,620739
ME,2022,617683
ME,2023,616695
MK,1977,1797145
MK,1978,1823151
MK,1979,1849388
MK,1980,1878067
MK,1981,1904570
MK,1982,1928856
MK,1983,1954972
MK,1984,1980139
MK,1985,2004709
MK,1986,2029175
MK,1987,2052953
MK,1988,2077056
MK,1989,2100246
MK,1990,1873109
MK,1991,1890872
MK,1992,1908941
MK,1993,2061000
MK,1994,1936741
MK,1995,1957265
MK,1996,1971687
MK,1997,1991398
MK,1998,2002340
MK,1999,2012705
MK,2000,2021578
MK,2001,2031112
MK,2002,2038651
MK,2003,2023654
MK,2004,2029892
MK,2005,2035196
MK,2006,2038514
MK,2007,2041941
MK,2008,2045177
MK,2009,2048619
MK,2010,2052722
MK,2011,2057284
MK,2012,2059794
MK,2013,2062294
MK,2014,2065769
MK,2015,2069172
MK,2016,2071278
MK,2017,2073702
MK,2018,2075301
MK,2019,2077132
MK,2020,2076255
MK,2021,2068808
MK,2022,1837114
MK,2023,1829954
MT,1977,304997
MT,1978,308942
MT,1979,311421
MT,1980,315262
MT,1981,318028
MT,1982,319936
MT,1983,331859
MT,1984,329189
MT,1985,331997
MT,1986,340907
MT,1987,343334
MT,1988,345636
MT,1989,349014
MT,1990,352430
MT,1991,361908
MT,1992,365781
MT,1993,369455
MT,1994,373161
MT,1995,376433
MT,1996,378404
MT,1997,381405
MT,1998,384176
MT,1999,386397
MT,2000,388759
MT,2001,391415
MT,2002,394641
MT,2003,397296
MT,2004,399867
MT,2005,402668
MT,2006,404999
MT,2007,405616
MT,2008,407832
MT,2009,410926
MT,2010,414027
MT,2011,414989
MT,2012,417546
MT,2013,422509
MT,2014,429424
MT,2015,439691
MT,2016,450415
MT,2017,460297
MT,2018,475701
MT,2019,493559
MT,2020,514564
MT,2021,516100
MT,2022,520971
MT,2023,542051
NL,1977,13814495
NL,1978,13897874
NL,1979,13985526
NL,1980,14091014
NL,1981,14208586
NL,1982,14285829
NL,1983,14339551
NL,1984,14394589
NL,1985,14453833
NL,1986,14529430
NL,1987,14615125
NL,1988,14714948
NL,1989,14805240
NL,1990,14892574
NL,1991,15010445
NL,1992,15129150
NL,1993,15239182
NL,1994,15341553
NL,1995,15424122
NL,1996,15493889
NL,1997,15567107
NL,1998,15654192
NL,1999,15760225
NL,2000,15863950
NL,2001,15987075
NL,2002,16105285
NL,2003,16192572
NL,2004,16258032
NL,2005,16305526
NL,2006,16334210
NL,2007,16357992
